.geo,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,hls_date,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,record_id,system:index
"{""type"":""Point"",""coordinates"":[93.91899992271102,24.73502148525594]}",0.5089282621920308,0.3689109956402716,0.6212826371286626,0.6337859069248708,0.6177278008719459,0.6157549528541011,0.6519587295954575,0.678211563418838,0.6457823836560883,0.6778480736084355,0.2725963691572022,0.118446482077611,0.0225794957327515,-0.0098646038680793,2024-07-26,369,1,7,1,LS-0302,0000000000000000012d
"{""type"":""Point"",""coordinates"":[93.82000787932454,24.527106980436916]}",0.5513838969730769,0.449557709273437,0.6306555899203975,0.6378383258125032,0.6162711656441718,0.6162113927901434,0.649253855904274,0.670472037722456,0.6580134107387311,0.6696751406986767,0.1881518018174642,0.0881522161612951,0.0328540698924364,-0.0156348206554968,2024-07-26,369,1,7,1,LS-0303,0000000000000000012e
"{""type"":""Point"",""coordinates"":[93.13878655228855,24.750958312420952]}",0.1976613048768123,0.1005288654567575,0.0352246882287336,0.0748071327182398,0.0587164148839095,0.1040873010240292,0.251576832606712,0.3219385988036093,0.3080082834837269,0.3452936226300314,0.510064570049069,0.2191558194858412,0.6830605332251101,-0.6093385510723474,2024-07-26,362,1,6,1,LS-0305,00000000000000000130
"{""type"":""Point"",""coordinates"":[94.3585424317513,25.091999279190603]}",0.3769177997465145,0.2961894752851711,0.2715983168567806,0.3046146210392902,0.3058295614702154,0.3298279138149555,0.438361723700887,0.4773033206590619,0.4568747173637514,0.4922151787072245,0.2118632903271547,0.0937669366002123,0.2164505271707774,-0.2210714695501208,2024-08-10,365,1,5,1,LS-0311,00000000000000000136
"{""type"":""Point"",""coordinates"":[90.20298576431664,25.51502081882785]}",0.4392062281987766,0.3533186037106314,0.4509223952277438,0.4659627015823264,0.4499626661948333,0.4663893888074416,0.5208318487437441,0.5501818108285729,0.5171488246296952,0.5644778272079267,0.187099832541186,0.0815044879053455,0.0747604095516496,-0.0565746895815362,2023-05-04,376,1,43,1,LS-0083,00000000000000000052
"{""type"":""Point"",""coordinates"":[91.90260780364596,25.309598951497705]}",0.3890831306374784,0.2743391152325934,0.4498397030505726,0.4635315344076215,0.4495243792439444,0.4457043376912944,0.4941050572615789,0.5185791628661195,0.4924856339312858,0.5254889074693422,0.2842351486669252,0.1171369801580238,0.0463557101186352,-0.0310426639956046,2023-06-10,356,1,22,1,LS-0087,00000000000000000056
"{""type"":""Point"",""coordinates"":[91.570966621897,25.446163380360538]}",0.5573027166751144,0.4413129650278763,0.7180245007602634,0.7483976381145466,0.7442174759249874,0.7671358692346683,0.7842835732387228,0.7873363862138872,0.7866876381145465,0.791140466294982,0.2814611071072001,0.1703397843789565,0.0291335510127488,-0.0258762803533574,2023-06-05,354,1,10,1,LS-0092,0000000000000000005b
"{""type"":""Point"",""coordinates"":[92.02088991818967,25.20592485200509]}",0.1695856700978652,0.0944177475787232,0.0324910247959028,0.0587941483697581,0.0530826175143248,0.0804387150753005,0.1954494903909538,0.2537401500938087,0.2321245322245324,0.2773378784037321,0.4146355408368217,0.1491613818805147,0.6207876976076259,-0.5866950166907434,2023-06-10,363,1,19,1,LS-0093,0000000000000000005c
"{""type"":""Point"",""coordinates"":[91.85616626617433,25.569288078648285]}",0.3648464068518144,0.2812714930062842,0.4491465842286639,0.4694563804986824,0.4683304226636934,0.4791029343198864,0.5263153608351916,0.5500554632069734,0.4997743817149805,0.5599164656395702,0.2789476714947802,0.1553489849104033,0.0357897058743534,-0.0355325413433054,2024-05-15,360,1,8,1,LS-0126,0000000000000000007d
"{""type"":""Point"",""coordinates"":[91.85661217627967,25.568235730799675]}",0.4379457735408953,0.3330611784392271,0.58800029917347,0.6052645048425535,0.59652716393692,0.6074145124486588,0.6445247451954772,0.6646107550327061,0.6196156178692767,0.6720886314081439,0.2984501426603754,0.1705267682030402,0.0195786947182405,-0.012801364869766,2024-05-15,360,1,8,1,LS-0127,0000000000000000007e
"{""type"":""Point"",""coordinates"":[91.87380646994175,25.568556786075522]}",0.3215951005725286,0.2339201449055073,0.2316420023306479,0.2555698231747478,0.2650422151289458,0.2805604752495313,0.3502611693773116,0.3816453057708873,0.3669528499771999,0.4002970512235901,0.2329510662393659,0.0725609513723035,0.2011833598820851,-0.2235868664636411,2024-05-15,360,1,8,1,LS-0128,0000000000000000007f
"{""type"":""Point"",""coordinates"":[91.61459446660389,25.363389087505418]}",0.1550662681122707,0.1227611814773533,0.0726528726314722,0.0952073766339041,0.0942521278751645,0.1158010690039517,0.1785736143479582,0.2006669470057756,0.1890526193130002,0.211184132130915,0.2738527888744701,0.1286419916314558,0.4534827567466379,-0.4737633942786542,2024-05-25,356,1,8,1,LS-0136,00000000000000000087
"{""type"":""Point"",""coordinates"":[91.89313221390739,25.628362249404336]}",0.1943545776967117,0.1029846734559456,0.027623164614683,0.0579967269595176,0.0514485737447433,0.0944133100268531,0.2200494300045599,0.2586103612504432,0.2526715255611289,0.2827254141966863,0.423542870590906,0.132049822036802,0.6657730629419146,-0.62594403572076,2024-05-25,356,1,8,1,LS-0137,00000000000000000088
"{""type"":""Point"",""coordinates"":[91.90259888544385,25.62580718450071]}",0.2465233686558839,0.1549654109415402,0.0389928357754905,0.079743431526644,0.0951284642295796,0.1306704862343456,0.2314010748871874,0.2640018759823555,0.2523805303452821,0.2786367844648378,0.2542736746405699,0.0211355898776751,0.4779781489719537,-0.5286077066039456,2024-05-25,356,1,8,1,LS-0138,00000000000000000089
"{""type"":""Point"",""coordinates"":[91.75176533321,25.453315778450264]}",0.0862033343468126,0.0442797050775311,-1.45079558123038e-05,0.0229120958751393,0.0178448109861153,0.0433614472484037,0.1138788689571298,0.1329024424850512,0.1357100587817979,0.1445758589236849,0.5217946410624714,0.2413062559977317,0.7856217830296712,-0.7231880177495106,2024-05-25,356,1,8,1,LS-0139,0000000000000000008a
"{""type"":""Point"",""coordinates"":[91.87148773739396,25.567062987222616]}",0.2724287467045224,0.2266956601095111,0.2071656915432974,0.2352157625228148,0.241402205435003,0.2597338217400121,0.3140117065503953,0.3371641908335024,0.2977460657067532,0.3506668170756438,0.1415811682612354,0.0391052467378773,0.1826683003088796,-0.2030180128741069,2024-05-25,356,1,8,1,LS-0140,0000000000000000008b
"{""type"":""Point"",""coordinates"":[91.8818194745348,25.560962936981504]}",0.4981995034706388,0.4117962253635303,0.4205516593200588,0.4576872473020216,0.4700254800628262,0.4854471297562953,0.5343170238638092,0.5584060495516037,0.5234723868875717,0.576216415868673,0.1211295646598188,0.0252422804696356,0.0760999414945859,-0.0863551382509714,2024-05-25,356,1,8,1,LS-0141,0000000000000000008c
"{""type"":""Point"",""coordinates"":[91.38968632767019,25.391927334247477]}",0.2911727756384274,0.2113473044183219,0.1406501570733685,0.175778151601135,0.1669912646939603,0.2141868413052291,0.3434118869071748,0.3883314501418727,0.3806184181191733,0.4135067997567898,0.3009383513349024,0.13742119831646,0.4300281906375021,-0.4062631523490476,2024-05-25,356,1,8,1,LS-0142,0000000000000000008d
"{""type"":""Point"",""coordinates"":[91.74895164044527,25.271536064905487]}",0.1888751241512112,0.0814720127698388,0.0211020979020978,0.0482717340630384,0.0306317979122326,0.0775933009019965,0.2466003699199351,0.3071159927029491,0.3027385426168035,0.3373682172899565,0.5751657283998479,0.2309201942228536,0.8152696081401135,-0.7243627411278761,2024-05-25,357,1,17,1,LS-0156,0000000000000000009b
"{""type"":""Point"",""coordinates"":[91.86663623544781,25.56835166742706]}",0.602899244881411,0.4371892408270829,0.7475191060206773,0.7656528126900467,0.750957439691871,0.7407991536590312,0.7785012416379485,0.8120225369957432,0.7455610885870667,0.8253040087168053,0.2607847038213383,0.1066063161115255,-0.0018532622296221,0.0134851466683208,2024-06-04,363,1,7,1,LS-0175,000000000000000000ae
"{""type"":""Point"",""coordinates"":[91.46640962039578,25.368971882024336]}",0.5438520961119278,0.3839953819638056,0.9861221118264308,0.9912777310285394,0.9567910123181426,0.968252719622852,0.9683589648704822,0.9740007755867588,0.951843818117301,0.9662786181375782,0.4250449595867901,0.2727048458159116,-0.0026666842050701,0.0203593999715244,2024-06-04,363,1,7,1,LS-0176,000000000000000000af
"{""type"":""Point"",""coordinates"":[91.23621298761269,25.225816901804514]}",0.569049658106671,0.3778300308970266,1.071197903054247,1.0695226156105966,1.0301288912525957,1.0454536240692909,1.0426938611153316,1.0334119333434633,1.060138271792534,1.01813166691992,0.4748565830818038,0.3015638887981866,0.0142156564938792,0.0045730772136641,2024-06-04,371,1,15,1,LS-0177,000000000000000000b0
"{""type"":""Point"",""coordinates"":[91.43314026743602,25.528188544238677]}",0.503019129200669,0.3105375437173703,1.0273007856454963,1.03075219727305,0.9938503117238584,1.0027807288762736,1.0012995387500627,1.0087779816513769,0.988490693902377,1.000328754625171,0.5223607067507329,0.3257205674850747,-0.0027621222722074,0.0210023248455666,2024-06-04,361,1,7,1,LS-0218,000000000000000000d9
"{""type"":""Point"",""coordinates"":[92.22033213100714,25.152772367448012]}",0.2134581217373675,0.2518839187066037,0.6995592924839085,0.7163254878110586,0.7143593887790787,0.750355977902793,0.760445502001926,0.7501708479043129,0.763759333029243,0.744470123156454,0.5039723483417763,0.5631095292906866,0.0334199746079193,-0.032046948839029,2024-06-11,372,1,18,1,LS-0219,000000000000000000da
"{""type"":""Point"",""coordinates"":[91.2717966140192,25.52900901883251]}",0.2102347590330918,0.1259618000304058,0.0193977550296457,0.0625352404601429,0.0570307353164749,0.1015268940353722,0.2388583692292097,0.2768832666092331,0.2693647240662848,0.2941948411290732,0.3632453979404044,0.1198065455931004,0.6485298626037819,-0.6177812384391856,2024-06-24,364,1,5,1,LS-0252,000000000000000000fb
"{""type"":""Point"",""coordinates"":[91.51434049761927,25.466184744090512]}",0.3423482721929468,0.2629837505066881,0.2103833147547629,0.2417336441021483,0.24214778070531,0.2690812373327929,0.3636434890555331,0.3958576661937577,0.3752866791649778,0.4142379864207542,0.2031365209852932,0.0590434500844334,0.2628934682229668,-0.2646257065063244,2024-06-24,364,1,5,1,LS-0253,000000000000000000fc
"{""type"":""Point"",""coordinates"":[90.64741990721255,25.193381400741746]}",0.2196233314808265,0.2824000808366594,1.050034552619613,1.0640565048249384,1.0283559591774871,1.0888749254787045,1.0789854948719249,1.032174617288941,1.057515657050473,0.9961721366139544,0.5784037868775023,0.6559950380050082,0.0139888615036768,0.0030771281650322,2024-06-29,375,1,18,1,LS-0270,0000000000000000010d
